,System,Gender,Dataset,Task,ROCCH-EER [%],ZEBRA Population [bit],ZEBRA Individual,ZEBRA Category,Cllr,min Cllr
0,Baseline-contrastive,f,libri,o-o,7.18,0.584,3.976,C,26.81,0.18
1,Baseline-contrastive,f,libri,o-a,25.57,0.219,2.236,C,115.57,0.69
2,Baseline-contrastive,m,libri,o-o,1.07,0.69,3.924,C,15.34,0.04
3,Baseline-contrastive,m,libri,o-a,17.53,0.355,2.602,C,106.44,0.50
4,Baseline-contrastive,f,libri,a-a,15.0,0.358,3.577,C,12.54,0.49
5,Baseline-contrastive,m,libri,a-a,8.24,0.525,3.536,C,15.39,0.26
6,Baseline-contrastive,f,vctk,o-o,4.86,0.594,3.66,C,1.49,0.17
7,Baseline-contrastive,f,vctk,o-a,29.9,0.141,2.407,C,93.16,0.79
8,Baseline-contrastive,f,vctk_common,o-o,2.75,0.652,3.557,C,0.86,0.09
9,Baseline-contrastive,f,vctk_common,o-a,30.45,0.132,1.213,B,93.96,0.81
10,Baseline-contrastive,m,vctk,o-o,1.97,0.667,3.921,C,1.82,0.07
11,Baseline-contrastive,m,vctk,o-a,27.99,0.196,3.009,C,101.70,0.72
12,Baseline-contrastive,m,vctk_common,o-o,0.97,0.694,3.675,C,1.04,0.04
13,Baseline-contrastive,m,vctk_common,o-a,23.99,0.198,2.468,C,99.34,0.71
14,Baseline-contrastive,f,vctk,a-a,16.89,0.315,2.626,C,41.34,0.55
15,Baseline-contrastive,f,vctk_common,a-a,14.07,0.377,2.225,C,42.75,0.46
16,Baseline-contrastive,m,vctk,a-a,11.93,0.425,3.516,C,25.07,0.40
17,Baseline-contrastive,m,vctk_common,a-a,11.22,0.463,3.09,C,28.23,0.35
18,Baseline-primary,f,libri,o-o,7.17,0.584,3.979,C,26.79,0.18
19,Baseline-primary,f,libri,o-a,46.81,0.004,0.31,A,151.82,0.99
20,Baseline-primary,m,libri,o-o,1.05,0.69,3.924,C,15.30,0.04
21,Baseline-primary,m,libri,o-a,49.76,0.001,0.282,A,166.66,1.00
22,Baseline-primary,f,libri,a-a,31.6,0.111,2.486,C,16.27,0.84
23,Baseline-primary,m,libri,a-a,36.12,0.066,2.403,C,33.93,0.90
24,Baseline-primary,f,vctk,o-o,4.84,0.594,3.655,C,1.50,0.17
25,Baseline-primary,f,vctk,o-a,47.84,0.001,0.128,A,146.93,1.00
26,Baseline-primary,f,vctk_common,o-o,2.75,0.653,3.557,C,0.87,0.09
27,Baseline-primary,f,vctk_common,o-a,47.64,0.004,0.668,A,162.53,0.99
28,Baseline-primary,m,vctk,o-o,1.97,0.667,3.921,C,1.82,0.07
29,Baseline-primary,m,vctk,o-a,50.0,3e-05,0.0002,A,167.82,1.00
30,Baseline-primary,m,vctk_common,o-o,0.96,0.694,3.675,C,1.04,0.04
31,Baseline-primary,m,vctk_common,o-a,49.95,0.0002,0.447,A,190.14,1.00
32,Baseline-primary,f,vctk,a-a,31.66,0.104,1.869,B,11.53,0.85
33,Baseline-primary,f,vctk_common,a-a,30.79,0.117,1.447,B,9.01,0.83
34,Baseline-primary,m,vctk,a-a,30.78,0.113,1.24,B,23.84,0.83
35,Baseline-primary,m,vctk_common,a-a,30.79,0.113,1.447,B,21.68,0.83
